"","x"
"1",0.0149642057553432
"2",0.0112457412940325
"3",0.00571898386003916
"4",0.01523771594376
"5",0.00436354384279893
"6",0.00749651668015307
"7",0.00376445866505794
"8",0.00259669398420492
"9",0.0145987455179712
"10",0.00121776549686694
"11",0.00531847860284543
"12",0.00796047699221285
"13",0.00595872279551422
"14",0.00968785267431536
"15",0.00388212137269528
"16",0.0180297191200697
"17",0.0209118025362797
"18",0.0152930958827362
"19",0.00386671352871855
"20",0.00774682148950443
"21",0.00416459967293629
"22",0.00241381294434211
"23",0.00161096119051322
"24",0.0116370191681069
"25",0.00665425255401888
"26",0.00532069059457936
"27",0.0103416442119343
"28",0.00524411593268254
"29",0.0078286850606355
"30",0.00640019483625618
"31",0.000994381834677968
"32",0.00525104965876426
"33",0.00656364473886547
"34",0.0194889785323337
"35",0.00698219538858055
"36",0.00549433791114171
"37",0.00399858455941176
"38",0.013102296552901
"39",0.0061962285546383
"40",0.00434593880480337
"41",0.00243313556241325
"42",0.00778713318112606
"43",0.0127032872700288
"44",0.0104702484900847
"45",0.025424359977436
"46",0.00145656714672115
"47",0.00648362116414457
"48",0.00271449081029274
"49",0.00205707605860357
"50",0.00997684167900261
"51",0.00946425031321791
"52",0.00226804747886191
"53",0.0229275484899109
"54",0.0163768922898489
"55",0.00783954258373054
"56",0.00508395529219411
"57",0.00527360698929874
"58",0.00986399784802296
"59",0.00212465185820587
"60",0.0102421438775725
"61",0.00538640133673272
"62",0.00568904598720655
"63",0.0109561352659795
"64",0.0064797411991159
"65",0.00708962394669564
"66",0.00363621830367735
"67",0.00693217994241231
"68",0.00307791910083926
"69",0.00845541899982519
"70",0.0192498246350688
"71",0.00666457348708616
"72",0.00614588065033338
"73",0.00869090422736884
"74",0.0107774980414923
"75",0.0035074715920406
"76",0.0256585732596232
"77",0.00272942660880308
"78",0.00452725413346134
"79",0.00372100386443964
"80",0.0083611698312843
"81",0.00613470074684423
"82",0.000921524253433984
"83",0.01257497518578
"84",0.0116184087791776
"85",0.0107049351978399
"86",0.0114505001730209
"87",0.00728952245065403
"88",0.00263563712687765
"89",0.0045608309174987
"90",0.00632953753609309
"91",0.00679445383174477
"92",0.0053005944091885
"93",0.0127576926239745
"94",0.0115843554568098
"95",0.00232826513537474
"96",0.00617373930556022
"97",0.00603699225073505
"98",0.0278210562176237
"99",0.0977452898780521
"100",0.10463553701227
