"","x"
"1",0.00704176775356215
"2",0.00772581523610344
"3",0.00359193855526045
"4",0.00315676128227292
"5",0.00446679955879648
"6",0.00189005807000525
"7",0.0244187726834318
"8",0.00781939387682814
"9",0.00367630252719318
"10",0.00228833666334544
"11",0.0110716226170273
"12",0.00372591849157497
"13",0.0083418586585544
"14",0.00639840759101883
"15",0.0118763082091297
"16",0.0100168124941302
"17",0.0113254361458944
"18",0.0109066040168085
"19",0.0109819080886336
"20",0.0014635102971852
"21",0.00658281599500657
"22",0.00170839236281643
"23",0.0132627372159643
"24",0.00355661489265283
"25",0.00363257762024151
"26",0.00608911943203398
"27",0.00704669397054902
"28",0.00424972158569842
"29",0.00285594264538525
"30",0.0201549384435466
"31",0.0243986711674605
"32",0.00325455495156799
"33",0.0136607630092573
"34",0.00638312803312775
"35",0.00680791871532272
"36",0.00279895773189135
"37",0.00539619133597787
"38",0.0116445580148789
"39",0.0130263875668007
"40",0.00597659477746397
"41",0.00648787121405076
"42",0.00625700420284135
"43",0.00338928326107158
"44",0.0265560673268788
"45",0.018060100069831
"46",0.0166162414999677
"47",0.00424805694387874
"48",0.00927533753846375
"49",0.00902434277027883
"50",0.000992005829243158
"51",0.0189970893881541
"52",0.00651077987825109
"53",0.0122892750277326
"54",0.00275731139720874
"55",0.00773468981892714
"56",0.00701344652009469
"57",0.0144085836080696
"58",0.00471617753642507
"59",0.00362807886269977
"60",0.00297864201145952
"61",0.00265869800230391
"62",0.00256682751448621
"63",0.0214102555451364
"64",0.00265641082723146
"65",0.00858818123195789
"66",0.00952314557896896
"67",0.00777565038401408
"68",0.00458588443319669
"69",0.00914313042253565
"70",0.00561736540077042
"71",0.00371788059185149
"72",0.0047564191588899
"73",0.00657340351499683
"74",0.00798063457772306
"75",0.0039248698564465
"76",0.00221614052538492
"77",0.00783374244188731
"78",0.00980911108275353
"79",0.00432275505753371
"80",0.00443213596805455
"81",0.0100402799951439
"82",0.00889876184692105
"83",0.0100700758092923
"84",0.00409106680917857
"85",0.00303291162593202
"86",0.00538112227332774
"87",0.00308009436579058
"88",0.0108753559503583
"89",0.00986066858376957
"90",0.00617453570046202
"91",0.0125767019316515
"92",0.0152491947532977
"93",0.00207923283021779
"94",0.0151851935794754
"95",0.00384674752653178
"96",0.00989405099192033
"97",0.0212904573308508
"98",0.00336980513237973
"99",0.111637973814681
"100",0.106661130042767
