"","x"
"1",0.0039026029320441
"2",0.0134725602868514
"3",0.00779855262847571
"4",0.00392765356214594
"5",0.00890388438550392
"6",0.0101996139151187
"7",0.00852514805920621
"8",0.00215767768458229
"9",0.00259943802924457
"10",0.00334284622686948
"11",0.00290295836767627
"12",0.0102865771569033
"13",0.00163257265941529
"14",0.00188997025243075
"15",0.00552370881121427
"16",0.0127027529787564
"17",0.0120576896516462
"18",0.00635087624028297
"19",0.0112228475635964
"20",0.00980343970620638
"21",0.00979405288994205
"22",0.00176428216135029
"23",0.00825137198725793
"24",0.00651654819381703
"25",0.0028164587086466
"26",0.00522728504880548
"27",0.00758659814558677
"28",0.0141958734775683
"29",0.0143691199116872
"30",0.0111874661361109
"31",0.00314401154785222
"32",0.0190820904691397
"33",0.00288674826284236
"34",0.0108215250862487
"35",0.00513078896288821
"36",0.00933534895586663
"37",0.0118485650426634
"38",0.00901502295997559
"39",0.00657907490170212
"40",0.00422975619782321
"41",0.0104803346955687
"42",0.00404461595195953
"43",0.0109730079852477
"44",0.00983223712710447
"45",0.00550514928889666
"46",0.00270957881359516
"47",0.00147239955545369
"48",0.00428365561485998
"49",0.00852254098428805
"50",0.00335975067570343
"51",0.00426945670002012
"52",0.0102781547676209
"53",0.00842810611871958
"54",0.00445017201606139
"55",0.0105563277548997
"56",0.0110372892546867
"57",0.00487366117093885
"58",0.00603840233784506
"59",0.00225347648359807
"60",0.00417670864679594
"61",0.00502093502821591
"62",0.00273663429448134
"63",0.00488441813794974
"64",0.0125839423171372
"65",0.012501351533839
"66",0.00877479198410369
"67",0.00662998541786145
"68",0.00549469620141309
"69",0.00554767594957843
"70",0.00952884617000057
"71",0.00657613993867232
"72",0.0199569909326473
"73",0.0109465888832323
"74",0.0199315416962163
"75",0.00403034848825106
"76",0.010448051005205
"77",0.0107486344161624
"78",0.00818012270453527
"79",0.00471497340411534
"80",0.0110245991082946
"81",0.00725685152674117
"82",0.00289998080487192
"83",0.00628974895247084
"84",0.0019807615418201
"85",0.00841450179267434
"86",0.00898216285821974
"87",0.00445456339234383
"88",0.00906721130757973
"89",0.00671532009034292
"90",0.00578220758063583
"91",0.00362788663872467
"92",0.00352816031367609
"93",0.0130563721762931
"94",0.00516588691915632
"95",0.00728776102271833
"96",0.00773759624118413
"97",0.00125607339537
"98",0.0113238508140077
"99",0.177838863313892
"100",0.0965425856155556
